@RELATION spf3

@ATTRIBUTE V1 NUMERIC
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE V9 NUMERIC
@ATTRIBUTE V10 NUMERIC
@ATTRIBUTE V11 NUMERIC
@ATTRIBUTE V12 NUMERIC
@ATTRIBUTE V13 NUMERIC
@ATTRIBUTE V14 NUMERIC
@ATTRIBUTE V15 NUMERIC
@ATTRIBUTE V16 NUMERIC
@ATTRIBUTE V17 NUMERIC
@ATTRIBUTE V18 NUMERIC
@ATTRIBUTE V19 NUMERIC
@ATTRIBUTE V20 NUMERIC
@ATTRIBUTE V21 NUMERIC
@ATTRIBUTE V22 NUMERIC
@ATTRIBUTE V23 NUMERIC
@ATTRIBUTE V24 NUMERIC
@ATTRIBUTE V25 NUMERIC
@ATTRIBUTE V26 NUMERIC
@ATTRIBUTE V27 NUMERIC
@ATTRIBUTE target {Bumps, Dirtiness, K_Scratch, Other_Faults, Pastry, Stains, Z_Scratch}

@DATA
1065.0,1088.0,3203535.0,3203555.0,147.0,43.0,30.0,14312.0,84.0,124.0,1364.0,1.0,0.0,80.0,0.4047,0.6804,0.8696,0.0169,0.5349,0.6667,0.0,2.1673,1.3617,1.301,-0.1304,-0.2394,0.7411,0.0
520.0,546.0,186833.0,186914.0,1006.0,120.0,96.0,116653.0,104.0,127.0,1392.0,0.0,1.0,220.0,0.7471,0.5223,0.321,0.0187,0.2167,0.8438,1.0,3.0026,1.415,1.9085,0.679,-0.0941,1.0,3.0
798.0,825.0,1519629.0,1519634.0,65.0,28.0,8.0,8344.0,118.0,143.0,1648.0,1.0,0.0,69.0,0.9685,0.5185,0.1852,0.0164,0.9643,0.625,0.0,1.8129,1.4314,0.699,-0.8148,0.0029,0.2469,3.0
1687.0,1694.0,348227.0,348257.0,140.0,12.0,30.0,9253.0,38.0,101.0,1698.0,0.0,1.0,90.0,0.0047,0.3333,0.2333,0.0041,0.5833,1.0,1.0,2.1461,0.8451,1.4771,0.7667,-0.4836,0.3509,3.0
873.0,900.0,1099506.0,1099516.0,150.0,27.0,12.0,16873.0,96.0,129.0,1353.0,0.0,1.0,50.0,0.6696,0.4444,0.3704,0.02,1.0,0.8333,0.0,2.1761,1.4314,1.0,-0.6296,-0.1212,0.4465,3.0
109.0,189.0,1541496.0,1541574.0,1834.0,242.0,128.0,227896.0,114.0,135.0,1358.0,0.0,1.0,40.0,0.1605,0.7061,0.975,0.0589,0.3306,0.6094,0.0,3.2634,1.9031,1.8921,-0.025,-0.0292,1.0,3.0
0.0,14.0,971696.0,971813.0,949.0,43.0,118.0,76361.0,59.0,106.0,1687.0,1.0,0.0,80.0,0.0,0.4206,0.1197,0.0083,0.3256,0.9915,1.0,2.9773,1.1461,2.0682,0.8803,-0.3714,0.9999,3.0
1343.0,1351.0,46714.0,46725.0,56.0,11.0,11.0,5729.0,90.0,117.0,1362.0,1.0,0.0,70.0,0.0161,0.3636,0.7273,0.0059,0.7273,1.0,1.0,1.7482,0.9031,1.0414,0.2727,-0.2007,0.1934,3.0
45.0,62.0,323844.0,323852.0,62.0,24.0,14.0,7716.0,117.0,134.0,1360.0,0.0,1.0,200.0,0.0662,0.5441,0.4706,0.0125,0.7083,0.5714,0.0,1.7924,1.2305,0.9031,-0.5294,-0.0277,0.2482,3.0
1540.0,1558.0,1511165.0,1511591.0,4686.0,251.0,427.0,454421.0,30.0,133.0,1688.0,1.0,0.0,70.0,0.154,0.3889,0.0422,0.0107,0.0717,0.9977,1.0,3.6708,1.2553,2.6294,0.9578,-0.2424,1.0,2.0
41.0,224.0,1370247.0,1370411.0,11535.0,758.0,419.0,1327403.0,23.0,141.0,1400.0,0.0,1.0,40.0,0.0586,0.6156,0.8962,0.1307,0.2414,0.3914,0.0,4.062,2.2624,2.2148,-0.1038,-0.101,1.0,2.0
64.0,95.0,417618.0,418215.0,10914.0,481.0,604.0,1096282.0,21.0,141.0,1362.0,0.0,1.0,60.0,0.094,0.4103,0.0519,0.0228,0.0645,0.9884,1.0,4.038,1.4914,2.776,0.9481,-0.2153,1.0,2.0
1586.0,1598.0,214533.0,214550.0,123.0,19.0,17.0,10646.0,77.0,103.0,1692.0,0.0,1.0,300.0,0.1111,0.3971,0.7059,0.0071,0.6316,1.0,1.0,2.0899,1.0792,1.2305,0.2941,-0.3238,0.3419,3.0
1440.0,1450.0,220121.0,220146.0,138.0,17.0,25.0,16548.0,101.0,133.0,1633.0,0.0,1.0,250.0,0.2241,0.448,0.4,0.0061,0.5882,1.0,1.0,2.1399,1.0,1.3979,0.6,-0.0632,0.4138,3.0
157.0,179.0,395408.0,395420.0,140.0,43.0,13.0,17898.0,118.0,141.0,1360.0,0.0,1.0,100.0,0.2309,0.4697,0.5454,0.0162,0.5116,0.9231,0.0,2.1461,1.3424,1.0792,-0.4545,-0.0012,0.4366,3.0
759.0,768.0,3896732.0,3896740.0,54.0,10.0,8.0,6028.0,90.0,127.0,1690.0,1.0,0.0,70.0,0.8982,0.25,0.8889,0.0053,0.9,1.0,0.0,1.7324,0.9542,0.9031,-0.1111,-0.1279,0.1773,0.0
243.0,254.0,205684.0,205730.0,305.0,37.0,46.0,14320.0,7.0,86.0,1692.0,0.0,1.0,300.0,0.2872,0.3972,0.2391,0.0065,0.2973,1.0,1.0,2.4843,1.0414,1.6628,0.7609,-0.6332,0.7955,3.0
459.0,470.0,4165780.0,4165792.0,89.0,14.0,12.0,10504.0,108.0,127.0,1352.0,0.0,1.0,40.0,0.679,0.3258,0.9167,0.0081,0.7857,1.0,1.0,1.9494,1.0414,1.0792,0.0833,-0.078,0.2432,0.0
39.0,193.0,707526.0,707593.0,6117.0,182.0,113.0,637707.0,49.0,127.0,1358.0,0.0,1.0,40.0,0.0574,0.4072,0.4351,0.1134,0.8461,0.5929,0.0,3.7865,2.1875,1.8261,-0.5649,-0.1855,1.0,2.0
936.0,944.0,639848.0,639857.0,65.0,9.0,9.0,11132.0,161.0,182.0,1387.0,0.0,1.0,40.0,0.6388,0.0972,0.8889,0.0058,0.8889,1.0,1.0,1.8129,0.9031,0.9542,0.1111,0.338,0.1773,3.0
1043.0,1106.0,4163671.0,4163699.0,980.0,80.0,46.0,92750.0,24.0,133.0,1356.0,1.0,0.0,200.0,0.3687,0.4444,0.4444,0.0465,0.7875,0.6087,0.0,2.9912,1.7993,1.4472,-0.5556,-0.2606,0.9999,0.0
1123.0,1140.0,34172.0,34180.0,76.0,18.0,8.0,10680.0,130.0,150.0,1698.0,1.0,0.0,85.0,0.6572,0.4412,0.4706,0.01,0.9444,1.0,0.0,1.8808,1.2305,0.9031,-0.5294,0.0979,0.2482,2.0
881.0,891.0,2921961.0,2921970.0,62.0,11.0,9.0,6294.0,80.0,118.0,1688.0,1.0,0.0,60.0,0.9443,0.3111,0.9,0.0059,0.9091,1.0,0.0,1.7924,1.0,0.9542,-0.1,-0.2069,0.1954,0.0
37.0,213.0,1566243.0,1566309.0,6210.0,293.0,153.0,645839.0,38.0,124.0,1356.0,0.0,1.0,40.0,0.0546,0.4654,0.375,0.1298,0.6007,0.4314,0.0,3.7931,2.2455,1.8195,-0.625,-0.1875,1.0,2.0
762.0,774.0,1519328.0,1519344.0,149.0,16.0,16.0,16217.0,95.0,125.0,1656.0,1.0,0.0,80.0,0.9203,0.224,0.75,0.0072,0.75,1.0,1.0,2.1732,1.0792,1.2041,0.25,-0.1497,0.3241,3.0
41.0,220.0,663618.0,663832.0,17825.0,790.0,539.0,2155523.0,24.0,143.0,1400.0,0.0,1.0,40.0,0.0586,0.5347,0.8364,0.1279,0.2266,0.397,1.0,4.251,2.2529,2.3304,0.1636,-0.0553,1.0,2.0
1327.0,1332.0,1432108.0,1432144.0,105.0,14.0,36.0,12615.0,111.0,135.0,1354.0,0.0,1.0,40.0,0.0325,0.4167,0.1389,0.0037,0.3571,1.0,1.0,2.0212,0.699,1.5563,0.8611,-0.0614,0.3068,0.0
232.0,241.0,1384749.0,1384772.0,139.0,19.0,23.0,15080.0,89.0,126.0,1696.0,0.0,1.0,60.0,0.2736,0.3285,0.3913,0.0053,0.4737,1.0,1.0,2.143,0.9542,1.3617,0.6087,-0.1524,0.3464,6.0
42.0,180.0,388190.0,388236.0,4019.0,191.0,102.0,417578.0,41.0,125.0,1360.0,0.0,1.0,40.0,0.0618,0.3669,0.3333,0.1015,0.7225,0.451,0.0,3.6041,2.1399,1.6628,-0.6667,-0.1883,1.0,2.0
1293.0,1304.0,3626796.0,3626816.0,163.0,18.0,20.0,16916.0,83.0,126.0,1362.0,0.0,1.0,50.0,0.0852,0.2591,0.55,0.0081,0.6111,1.0,1.0,2.2122,1.0414,1.301,0.45,-0.1892,0.3663,0.0
41.0,218.0,553549.0,553733.0,16759.0,729.0,433.0,2020624.0,24.0,143.0,1402.0,0.0,1.0,40.0,0.0585,0.4854,0.962,0.1262,0.2428,0.4249,1.0,4.2242,2.248,2.2648,0.038,-0.058,1.0,2.0
29.0,39.0,1821904.0,1821917.0,77.0,17.0,13.0,6861.0,76.0,109.0,1356.0,1.0,0.0,70.0,0.0428,0.4077,0.7692,0.0074,0.5882,1.0,1.0,1.8865,1.0,1.1139,0.2308,-0.3039,0.2408,3.0
1362.0,1372.0,4443762.0,4443777.0,114.0,14.0,15.0,12808.0,102.0,124.0,1666.0,0.0,1.0,40.0,0.3529,0.24,0.6667,0.006,0.7143,1.0,1.0,2.0569,1.0,1.1761,0.3333,-0.1223,0.266,0.0
119.0,127.0,1172603.0,1172632.0,128.0,22.0,30.0,15896.0,111.0,140.0,1356.0,1.0,0.0,70.0,0.1755,0.4483,0.2759,0.0059,0.3636,0.9667,1.0,2.1072,0.9031,1.4624,0.7241,-0.0298,0.385,0.0
1610.0,1618.0,1944129.0,1944138.0,56.0,12.0,9.0,4674.0,71.0,101.0,1656.0,1.0,0.0,100.0,0.0459,0.2222,0.8889,0.0048,0.6667,1.0,1.0,1.7482,0.9031,0.9542,0.1111,-0.3479,0.1773,6.0
39.0,180.0,2552670.0,2552812.0,8957.0,588.0,360.0,1025103.0,35.0,141.0,1400.0,0.0,1.0,40.0,0.0557,0.5526,0.993,0.1007,0.2398,0.3944,1.0,3.9522,2.1492,2.1523,0.007,-0.1059,1.0,2.0
0.0,9.0,950080.0,950188.0,709.0,39.0,108.0,68984.0,81.0,110.0,1687.0,1.0,0.0,80.0,0.0,0.2706,0.0833,0.0053,0.2308,1.0,1.0,2.8507,0.9542,2.0334,0.9167,-0.2399,0.9886,3.0
817.0,843.0,66196.0,66362.0,1421.0,142.0,185.0,141034.0,47.0,126.0,1666.0,0.0,1.0,40.0,0.9808,0.6708,0.1566,0.0156,0.1831,0.8973,1.0,3.1526,1.415,2.2201,0.8434,-0.2246,1.0,3.0
1136.0,1142.0,1421726.0,1421746.0,83.0,14.0,20.0,9917.0,110.0,134.0,1696.0,0.0,1.0,60.0,0.6533,0.3083,0.3,0.0035,0.4286,1.0,1.0,1.9191,0.7782,1.301,0.7,-0.0666,0.2288,0.0
132.0,148.0,682028.0,682128.0,836.0,38.0,101.0,86830.0,80.0,129.0,1360.0,1.0,0.0,150.0,0.1941,0.4775,0.16,0.0118,0.4211,0.9901,1.0,2.9222,1.2041,2.0,0.84,-0.1886,0.9998,3.0
1087.0,1103.0,3814057.0,3814076.0,194.0,28.0,23.0,22254.0,101.0,132.0,1364.0,1.0,0.0,80.0,0.3827,0.3618,0.8421,0.0117,0.5714,0.8261,1.0,2.2878,1.2041,1.2787,0.1579,-0.1038,0.5029,0.0
1680.0,1689.0,990614.0,990624.0,68.0,10.0,10.0,3507.0,21.0,82.0,1692.0,1.0,0.0,70.0,0.0036,0.2444,0.9,0.0053,0.9,1.0,1.0,1.8325,0.9542,1.0,0.1,-0.5971,0.1954,3.0
254.0,299.0,65006.0,65100.0,1695.0,145.0,133.0,159918.0,80.0,108.0,1692.0,0.0,1.0,300.0,0.3002,0.5993,0.4787,0.0266,0.3103,0.7068,1.0,3.2292,1.6532,1.9731,0.5213,-0.2629,1.0,2.0
545.0,559.0,86815.0,86886.0,500.0,83.0,76.0,49038.0,86.0,110.0,1392.0,0.0,1.0,220.0,0.7831,0.497,0.1972,0.0101,0.1687,0.9342,1.0,2.699,1.1461,1.8513,0.8028,-0.2338,0.9902,3.0
1085.0,1103.0,975066.0,975076.0,96.0,25.0,16.0,9265.0,86.0,126.0,1358.0,1.0,0.0,300.0,0.3756,0.4667,0.5556,0.0132,0.72,0.625,0.0,1.9823,1.2553,1.0,-0.4444,-0.246,0.3068,3.0
41.0,221.0,1228221.0,1228359.0,11348.0,595.0,357.0,1302540.0,27.0,143.0,1400.0,0.0,1.0,40.0,0.0586,0.5432,0.7667,0.1286,0.3025,0.3866,0.0,4.0549,2.2553,2.1399,-0.2333,-0.1033,1.0,2.0
1609.0,1616.0,1168986.0,1168994.0,32.0,9.0,8.0,3094.0,85.0,110.0,1688.0,1.0,0.0,60.0,0.0853,0.4286,0.875,0.0041,0.7778,1.0,1.0,1.5051,0.8451,0.9031,0.125,-0.2446,0.1622,0.0
46.0,178.0,189330.0,189384.0,4130.0,197.0,98.0,432500.0,37.0,132.0,1360.0,0.0,1.0,40.0,0.0676,0.4206,0.4091,0.0971,0.6701,0.551,0.0,3.616,2.1206,1.7324,-0.5909,-0.1819,1.0,2.0
513.0,534.0,620622.0,620684.0,657.0,53.0,62.0,73236.0,71.0,132.0,1374.0,0.0,1.0,40.0,0.7467,0.4954,0.3387,0.0153,0.3962,1.0,1.0,2.8176,1.3222,1.7924,0.6613,-0.1291,0.9987,0.0
1258.0,1270.0,422864.0,422886.0,184.0,21.0,24.0,16987.0,85.0,103.0,1353.0,0.0,1.0,70.0,0.1227,0.303,0.5454,0.0089,0.5714,0.9167,1.0,2.2648,1.0792,1.3424,0.4545,-0.2787,0.4366,3.0
41.0,210.0,4383746.0,4383803.0,5499.0,298.0,138.0,581466.0,43.0,125.0,1358.0,0.0,1.0,40.0,0.0604,0.4291,0.3373,0.1244,0.5671,0.413,0.0,3.7403,2.2279,1.7559,-0.6627,-0.1739,1.0,0.0
38.0,63.0,1148345.0,1148364.0,241.0,45.0,35.0,14875.0,42.0,85.0,1356.0,1.0,0.0,70.0,0.056,0.4926,0.76,0.0184,0.5556,0.5429,0.0,2.382,1.3979,1.2787,-0.24,-0.5178,0.7598,6.0
955.0,963.0,731417.0,731423.0,34.0,10.0,6.0,3553.0,91.0,119.0,1692.0,1.0,0.0,60.0,0.8617,0.2917,0.75,0.0047,0.8,1.0,0.0,1.5315,0.9031,0.7782,-0.25,-0.1836,0.1551,0.0
213.0,229.0,260092.0,260110.0,137.0,50.0,27.0,17621.0,120.0,140.0,1364.0,0.0,1.0,40.0,0.3123,0.5243,0.8889,0.0117,0.32,0.6667,1.0,2.1367,1.2041,1.2553,0.1111,0.0049,0.4763,3.0
102.0,119.0,1446788.0,1446835.0,409.0,65.0,53.0,47513.0,103.0,132.0,1654.0,1.0,0.0,70.0,0.1233,0.4881,0.3617,0.0103,0.2615,0.8868,1.0,2.6117,1.2305,1.6721,0.6383,-0.0924,0.9648,3.0
1173.0,1188.0,1072387.0,1072413.0,258.0,20.0,26.0,26729.0,77.0,122.0,1353.0,1.0,0.0,50.0,0.2439,0.3385,0.5769,0.0111,0.75,1.0,1.0,2.4116,1.1761,1.415,0.4231,-0.1906,0.6422,3.0
604.0,646.0,4441757.0,4441811.0,1035.0,67.0,55.0,97966.0,46.0,125.0,1356.0,1.0,0.0,200.0,0.8909,0.5436,0.7778,0.031,0.6269,0.9818,1.0,3.0149,1.6233,1.7324,0.2222,-0.2605,1.0,0.0
39.0,191.0,2300567.0,2300643.0,5957.0,289.0,166.0,637883.0,48.0,135.0,1404.0,0.0,1.0,40.0,0.0556,0.4843,0.5,0.1083,0.526,0.4578,0.0,3.775,2.1818,1.8808,-0.5,-0.1634,1.0,2.0
39.0,218.0,1658501.0,1658584.0,6828.0,297.0,152.0,705056.0,42.0,127.0,1358.0,0.0,1.0,40.0,0.0574,0.5404,0.4637,0.1318,0.6027,0.5461,0.0,3.8343,2.2529,1.9191,-0.5363,-0.1933,1.0,2.0
1539.0,1556.0,625496.0,625516.0,260.0,24.0,20.0,21865.0,52.0,110.0,1692.0,1.0,0.0,80.0,0.1608,0.2353,0.85,0.01,0.7083,1.0,1.0,2.415,1.2305,1.301,0.15,-0.343,0.5626,0.0
1372.0,1388.0,784148.0,784164.0,131.0,22.0,17.0,16983.0,118.0,142.0,1694.0,1.0,0.0,80.0,0.3613,0.4883,1.0,0.0094,0.7273,0.9412,0.5,2.1173,1.2041,1.2041,0.0,0.0128,0.4235,0.0
438.0,455.0,627768.0,627803.0,415.0,29.0,37.0,45783.0,82.0,127.0,1360.0,0.0,1.0,40.0,0.6441,0.3025,0.4857,0.0125,0.5862,0.9459,1.0,2.6181,1.2305,1.5441,0.5143,-0.1381,0.8756,3.0
847.0,858.0,3658081.0,3658092.0,84.0,15.0,11.0,8532.0,83.0,118.0,1646.0,1.0,0.0,80.0,0.9575,0.3058,1.0,0.0067,0.7333,1.0,0.5,1.9243,1.0414,1.0414,0.0,-0.2065,0.23,0.0
1206.0,1214.0,308931.0,308956.0,134.0,12.0,25.0,14838.0,100.0,119.0,1353.0,0.0,1.0,185.0,0.2055,0.33,0.32,0.0059,0.6667,1.0,1.0,2.1271,0.9031,1.3979,0.68,-0.1349,0.3359,3.0
391.0,420.0,1312199.0,1312217.0,129.0,48.0,35.0,16308.0,112.0,150.0,1368.0,1.0,0.0,80.0,0.5716,0.7529,0.6207,0.0212,0.6042,0.5143,0.0,2.1106,1.4624,1.2553,-0.3793,-0.0124,0.8123,0.0
37.0,212.0,2751455.0,2751522.0,6280.0,324.0,184.0,654471.0,40.0,124.0,1358.0,0.0,1.0,40.0,0.0545,0.4644,0.3829,0.1289,0.5401,0.3641,0.0,3.798,2.243,1.8261,-0.6171,-0.1858,1.0,2.0
54.0,75.0,2344077.0,2344153.0,838.0,67.0,80.0,85442.0,90.0,119.0,1358.0,1.0,0.0,70.0,0.0795,0.4749,0.2763,0.0155,0.3134,0.95,1.0,2.9232,1.3222,1.8808,0.7237,-0.2034,0.9998,3.0
897.0,907.0,898704.0,898715.0,101.0,11.0,11.0,16760.0,148.0,182.0,1387.0,0.0,1.0,40.0,0.6921,0.0818,0.9091,0.0072,0.9091,1.0,1.0,2.0043,1.0,1.0414,0.0909,0.2964,0.2173,3.0
460.0,555.0,2161400.0,2161408.0,343.0,106.0,28.0,39231.0,105.0,127.0,1358.0,0.0,1.0,40.0,0.6775,0.5487,0.0842,0.07,0.8962,0.2857,0.0,2.5353,1.9777,0.9031,-0.9158,-0.1064,0.9549,3.0
1251.0,1274.0,3874199.0,3874261.0,994.0,29.0,62.0,68851.0,15.0,119.0,1387.0,0.0,1.0,50.0,0.1629,0.3029,0.371,0.0166,0.7931,1.0,1.0,2.9974,1.3617,1.7924,0.629,-0.4588,0.9994,0.0
355.0,461.0,2203324.0,2203335.0,527.0,118.0,44.0,62384.0,110.0,134.0,1358.0,0.0,1.0,40.0,0.5228,0.548,0.1038,0.0781,0.8983,0.25,0.0,2.7218,2.0253,1.0414,-0.8962,-0.0752,0.9969,1.0
1215.0,1232.0,1545468.0,1545486.0,184.0,42.0,22.0,22708.0,115.0,135.0,1628.0,0.0,1.0,120.0,0.4865,0.3987,0.9444,0.0104,0.4048,0.8182,1.0,2.2648,1.2305,1.2553,0.0556,-0.0358,0.5063,0.0
41.0,219.0,1704636.0,1704704.0,6625.0,351.0,173.0,686356.0,42.0,124.0,1358.0,0.0,1.0,40.0,0.0604,0.4527,0.382,0.1311,0.5071,0.3931,0.0,3.8212,2.2504,1.8325,-0.618,-0.1906,1.0,2.0
143.0,166.0,518468.0,518483.0,206.0,34.0,18.0,23642.0,101.0,127.0,1358.0,0.0,1.0,175.0,0.2106,0.4029,0.6522,0.0169,0.6765,0.8333,0.0,2.3139,1.3617,1.1761,-0.3478,-0.1034,0.5708,3.0
43.0,215.0,1253069.0,1253240.0,13975.0,795.0,441.0,1630309.0,29.0,140.0,1400.0,0.0,1.0,40.0,0.0614,0.5249,0.9942,0.1229,0.2164,0.3878,0.0,4.1453,2.2355,2.233,-0.0058,-0.0886,1.0,2.0
