% %  Source:
% %
% %  D. Lucas (ddlucas .at. alum.mit.edu), Lawrence Livermore National Laboratory
% %  R. Klein (rklein .at. astron.berkeley.edu), Lawrence Livermore National Laboratory & U.C. Berkeley
% %  J. Tannahill (tannahill1 .at. llnl.gov), Lawrence Livermore National Laboratory
% %  D. Ivanova (ivanova2 .at. llnl.gov), Lawrence Livermore National Laboratory
% %  S. Brandon (brandon1 .at. llnl.gov), Lawrence Livermore National Laboratory
% %  D. Domyancic (domyancic1 .at. llnl.gov), Lawrence Livermore National Laboratory
% %  Y. Zhang (zhang24 .at. llnl.gov), Lawrence Livermore National Laboratory
% %
% %  This data was constructed using LLNL's UQ Pipeline, was created under the auspices
% %  of the US Department of Energy by Lawrence Livermore National Laboratory under
% %  Contract DE-AC52-07NA27344, was funded by LLNL's Uncertainty Quantification Strategic
% %  Initiative Laboratory Directed Research and Development Project under tracking code
% %  10-SI-013, and is released under UCRL number LLNL-MISC-633994.
% %
% %  Data Set Information:
% %
% %  This dataset contains records of simulation crashes encountered during climate model
% %  uncertainty quantification (UQ) ensembles.
% %
% %  Ensemble members were constructed using a Latin hypercube method in LLNL's UQ Pipeline
% %  software system to sample the uncertainties of 18 model parameters within the Parallel
% %  Ocean Program (POP2) component of the Community Climate System Model (CCSM4).
% %
% %  Three separate Latin hypercube ensembles were conducted, each containing 180 ensemble
% %  members. 46 out of the 540 simulations failed for numerical reasons at combinations
% %  of parameter values.
% %
% %  The goal is to use classification to predict simulation outcomes (fail or succeed) from
% %  input parameter values, and to use sensitivity analysis and feature selection to
% %  determine the causes of simulation crashes.
% %
% %  Further details about the data and methods are given in the publication 'Failure Analysis
% %  of Parameter-Induced Simulation Crashes in Climate Models,' Geoscientific Model
% %  Development ([Web Link]).
% %
% %  Attribute Information:
% %
% %  The goal is to predict climate model simulation outcomes (column 21, fail or succeed)
% %  given scaled values of climate model input parameters (columns 3-20).
% %
% %  Column 1: Latin hypercube study ID (study 1 to study 3)
% %
% %  Column 2: simulation ID (run 1 to run 180)
% %
% %  Columns 3-20: values of 18 climate model parameters scaled in the interval [0, 1]
% %
% %  Column 21: simulation outcome (0 = failure, 1 = success)
@RELATION climate-simulation-craches

@ATTRIBUTE V1 NUMERIC
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE V9 NUMERIC
@ATTRIBUTE V10 NUMERIC
@ATTRIBUTE V11 NUMERIC
@ATTRIBUTE V12 NUMERIC
@ATTRIBUTE V13 NUMERIC
@ATTRIBUTE V14 NUMERIC
@ATTRIBUTE V15 NUMERIC
@ATTRIBUTE V16 NUMERIC
@ATTRIBUTE V17 NUMERIC
@ATTRIBUTE V18 NUMERIC
@ATTRIBUTE V19 NUMERIC
@ATTRIBUTE V20 NUMERIC
@ATTRIBUTE Class {1, 2}

@DATA
3.0,3.0,429.0,0.792418,0.789954,0.906748,0.863046,0.386705,0.593317,0.881642,0.622044,0.836672,0.257204,0.459037,0.401002,0.039313,0.591884,0.432448,0.407422,0.175843,2
1.0,84.0,276.0,0.510161,0.221875,0.555486,0.689032,0.07646,0.249088,0.265131,0.893472,0.544539,0.510709,0.127523,0.666518,0.943891,0.606818,0.989129,0.188199,0.907212,2
1.0,141.0,363.0,0.671476,0.538154,0.268859,0.2625,0.309356,0.724382,0.354206,0.484132,0.426175,0.446762,0.997718,0.355792,0.952638,0.597846,0.214007,0.948157,0.456663,2
1.0,150.0,210.0,0.388687,0.890669,0.32072,0.435795,0.560228,0.487801,0.091409,0.288359,0.810932,0.151769,0.781068,0.91445,0.544896,0.733622,0.498041,0.44004,0.980088,2
3.0,109.0,114.0,0.207817,0.35393,0.477163,0.927125,0.393286,0.813237,0.759658,0.386056,0.069948,0.72113,0.587641,0.69813,0.010211,0.132105,0.010669,0.134106,0.405786,2
3.0,81.0,459.0,0.849993,0.623134,0.901439,0.711938,0.915774,0.33545,0.166843,0.771159,0.841244,0.160471,0.841442,0.091358,0.54486,0.34631,0.066418,0.33311,0.579961,2
2.0,135.0,372.0,0.688815,0.00313,0.706781,0.448408,0.695838,0.417705,0.893614,0.686808,0.783751,0.519879,0.136856,0.240399,0.261542,0.444906,0.52128,0.23765,0.549607,2
1.0,139.0,317.0,0.58446,0.161104,0.823653,0.365244,0.519258,0.949189,0.083937,0.522097,0.731341,0.577884,0.860753,0.34666,0.655854,0.671248,0.482817,0.510958,0.625267,2
2.0,65.0,119.0,0.220238,0.171899,0.625887,0.412758,0.672783,0.615496,0.379483,0.053474,0.081122,0.426909,0.323293,0.180489,0.652058,0.338704,0.374086,0.905545,0.203932,2
2.0,42.0,323.0,0.598422,0.530001,0.457354,0.361116,0.828244,0.534984,0.494635,0.518908,0.777733,0.454033,0.659845,0.402295,0.671177,0.959958,0.068912,0.149598,0.332331,2
1.0,96.0,69.0,0.126199,0.589327,0.64359,0.711936,0.545565,0.362442,0.37502,0.627092,0.261219,0.145991,0.293003,0.194387,0.95639,0.066554,0.387424,0.358485,0.203458,2
2.0,90.0,9.0,0.01369,0.020551,0.499304,0.815354,0.592449,0.863679,0.129054,0.193048,0.635245,0.852188,0.748406,0.959875,0.524044,0.987117,0.914304,0.277974,0.340787,2
2.0,25.0,387.0,0.712007,0.643306,0.602248,0.548332,0.478596,0.691802,0.74166,0.626879,0.715417,0.098868,0.450471,0.013331,0.287965,0.811486,0.611515,0.273716,0.36662,2
3.0,120.0,336.0,0.621174,0.961412,0.04975,0.947234,0.95336,0.515263,0.122214,0.571543,0.497678,0.770824,0.601523,0.946707,0.071095,0.362984,0.088217,0.287183,0.883087,1
2.0,105.0,479.0,0.887568,0.609339,0.417184,0.677663,0.850879,0.20899,0.941736,0.34643,0.007006,0.028498,0.682978,0.796063,0.003692,0.135426,0.178032,0.805768,0.841355,2
3.0,117.0,444.0,0.819746,0.386938,0.350453,0.935542,0.689324,0.225004,0.12852,0.855853,0.580846,0.754419,0.613355,0.031566,0.489381,0.575038,0.691913,0.970933,0.903415,2
2.0,178.0,458.0,0.84583,0.281723,0.931554,0.085654,0.835625,0.304397,0.263684,0.969492,0.699272,0.584713,0.920416,0.720655,0.382025,0.017184,0.720767,0.338794,0.079511,2
3.0,30.0,192.0,0.355212,0.066133,0.254635,0.239165,0.147224,0.255414,0.868011,0.076027,0.612871,0.58176,0.434276,0.551449,0.162819,0.657756,0.852178,0.96278,0.560292,2
1.0,5.0,278.0,0.513199,0.061812,0.635837,0.844798,0.441502,0.191926,0.487546,0.358534,0.551543,0.743877,0.312349,0.650223,0.522261,0.043545,0.37666,0.280098,0.132283,2
3.0,49.0,12.0,0.020188,0.363318,0.323715,0.601064,0.771488,0.560489,0.160076,0.606976,0.654645,0.78137,0.977121,0.860663,0.508372,0.080168,0.847345,0.417181,0.685659,2
1.0,33.0,62.0,0.115738,0.529137,0.188375,0.418222,0.333328,0.13833,0.1202,0.53258,0.96735,0.158751,0.474754,0.142948,0.164271,0.809068,0.76881,0.936033,0.402335,2
3.0,125.0,324.0,0.599653,0.874726,0.762919,0.092636,0.037749,0.72328,0.065104,0.995049,0.860192,0.3655,0.710586,0.878527,0.934265,0.710598,0.267106,0.187127,0.799262,2
3.0,129.0,220.0,0.406523,0.776124,0.965567,0.611584,0.453596,0.766747,0.401093,0.088903,0.377249,0.536599,0.331558,0.561674,0.087159,0.452882,0.986304,0.306188,0.152565,2
2.0,1.0,134.0,0.247513,0.825087,0.104382,0.644372,0.348581,0.81716,0.572719,0.738968,0.231946,0.134547,0.470683,0.273035,0.694123,0.852758,0.292342,0.772436,0.14831,2
1.0,151.0,46.0,0.083611,0.176281,0.618705,0.094737,0.181755,0.028818,0.804748,0.341918,0.239205,0.046431,0.325082,0.41878,0.52935,0.791357,0.419112,0.994421,0.424921,2
3.0,19.0,140.0,0.257232,0.779204,0.50915,0.809031,0.734984,0.793737,0.62672,0.027184,0.252618,0.96567,0.82475,0.11623,0.435727,0.492057,0.712172,0.826376,0.64726,2
2.0,73.0,404.0,0.74896,0.451616,0.223927,0.317565,0.708296,0.627475,0.571772,0.421584,0.80054,0.955196,0.550708,0.034296,0.069697,0.027346,0.532676,0.245335,0.429879,2
2.0,115.0,79.0,0.145372,0.63038,0.753984,0.10857,0.981814,0.378163,0.614405,0.481149,0.493238,0.826432,0.587757,0.940122,0.566471,0.726706,0.554594,0.572747,0.871987,2
1.0,180.0,2.0,0.003105,0.264193,0.936009,0.511536,0.479419,0.563392,0.614566,0.99519,0.073566,0.332543,0.712046,0.814073,0.557834,0.342823,0.037558,0.588043,0.653371,2
1.0,35.0,511.0,0.944566,0.245755,0.680601,0.967,0.449789,0.593078,0.272489,0.676484,0.756458,0.619869,0.90925,0.702106,0.763603,0.376942,0.477158,0.352573,0.328102,2
3.0,57.0,207.0,0.380206,0.273928,0.025923,0.839974,0.936626,0.632205,0.962914,0.107415,0.932578,0.69663,0.751786,0.012964,0.334098,0.831553,0.619904,0.697759,0.77444,2
1.0,38.0,410.0,0.758718,0.475841,0.833073,0.09325,0.161021,0.828598,0.215001,0.392582,0.650206,0.81806,0.016791,0.393927,0.622843,0.068229,0.592253,0.555532,0.102812,2
2.0,116.0,110.0,0.203324,0.77197,0.139414,0.021107,0.168604,0.564577,0.326451,0.412705,0.938722,0.443985,0.208908,0.688998,0.945916,0.00403,0.038272,0.066066,0.736864,1
2.0,160.0,512.0,0.944829,0.413111,0.415689,0.699838,0.206978,0.346303,0.859249,0.523672,0.286834,0.079056,0.932947,0.641261,0.134067,0.965126,0.12422,0.552104,0.990712,1
1.0,34.0,227.0,0.420645,0.431975,0.686291,0.043078,0.041824,0.986828,0.86841,0.414101,0.530654,0.42267,0.182383,0.89742,0.729727,0.158203,0.87517,0.618953,0.218368,2
2.0,157.0,26.0,0.048769,0.993734,0.65252,0.336776,0.287515,0.954549,0.657516,0.515852,0.932177,0.047367,0.615654,0.735538,0.414487,0.996006,0.221706,0.423969,0.831996,2
2.0,94.0,382.0,0.70773,0.479624,0.165074,0.158409,0.466025,0.701945,0.146734,0.58855,0.215681,0.157364,0.870028,0.53895,0.771205,0.256712,0.899893,0.629012,0.223182,2
3.0,26.0,460.0,0.851079,0.125269,0.459808,0.271712,0.060265,0.586749,0.010003,0.070124,0.63502,0.926638,0.423626,0.529915,0.057835,0.08735,0.801823,0.517311,0.297703,2
1.0,14.0,8.0,0.013556,0.623447,0.519136,0.254456,0.366947,0.055696,0.518501,0.371257,0.853784,0.34704,0.947347,0.597281,0.428806,0.40137,0.820446,0.599584,0.135681,2
1.0,31.0,477.0,0.883149,0.02928,0.359467,0.357382,0.526268,0.036278,0.590755,0.137506,0.048151,0.662521,0.338002,0.305894,0.026762,0.030902,0.339045,0.576479,0.759567,2
1.0,160.0,43.0,0.080214,0.404242,0.64736,0.915713,0.15444,0.614667,0.329726,0.279505,0.488782,0.680231,0.820551,0.740144,0.402157,0.921411,0.1997,0.015783,0.076074,2
3.0,146.0,522.0,0.966107,0.509407,0.662545,0.122212,0.984212,0.491054,0.071069,0.126104,0.302333,0.089746,0.546771,0.278753,0.443169,0.073111,0.032968,0.561098,0.804014,2
3.0,2.0,533.0,0.987699,0.17043,0.981563,0.068741,0.28062,0.61398,0.321236,0.543237,0.283652,0.261827,0.737222,0.77526,0.196828,0.606249,0.750256,0.094154,0.666742,2
1.0,74.0,425.0,0.7885,0.392745,0.862112,0.815376,0.631075,0.470086,0.528564,0.979535,0.649464,0.384347,0.175653,0.344239,0.701359,0.301936,0.939268,0.316415,0.701766,2
1.0,1.0,502.0,0.927825,0.252866,0.298838,0.170521,0.735936,0.428325,0.567947,0.47437,0.245675,0.104226,0.869091,0.997518,0.44862,0.307522,0.85831,0.796997,0.869893,1
1.0,132.0,432.0,0.79933,0.499263,0.311961,0.304655,0.919926,0.481232,0.461883,0.455839,0.991377,0.710746,0.618634,0.451186,0.234836,0.168832,0.135646,0.374496,0.333882,2
2.0,163.0,63.0,0.115958,0.50616,0.748754,0.652568,0.858129,0.04144,0.692275,0.598177,0.143713,0.712722,0.562539,0.208151,0.91127,0.647641,0.329511,0.721161,0.699756,2
2.0,104.0,39.0,0.070974,0.885362,0.692255,0.382775,0.924835,0.293287,0.554447,0.20938,0.171363,0.261769,0.735608,0.345367,0.161559,0.095692,0.065049,0.214982,0.528375,2
2.0,36.0,333.0,0.61604,0.903173,0.095171,0.390351,0.488833,0.099462,0.534661,0.747439,0.196774,0.990553,0.266929,0.743249,0.991031,0.077065,0.691834,0.971464,0.234573,2
3.0,31.0,413.0,0.76443,0.847149,0.051406,0.64974,0.235101,0.231772,0.314433,0.816677,0.176789,0.109672,0.490705,0.146894,0.469455,0.433923,0.645516,0.650624,0.959569,2
1.0,55.0,253.0,0.468096,0.709534,0.964369,0.673798,0.131002,0.708804,0.619074,0.524285,0.225811,0.01687,0.237431,0.683611,0.315722,0.250015,0.046623,0.744735,0.763153,2
3.0,175.0,245.0,0.452387,0.30265,0.015052,0.694187,0.996129,0.64227,0.610011,0.27355,0.606164,0.390183,0.498682,0.375233,0.283255,0.621063,0.073319,0.072947,0.976104,2
3.0,61.0,375.0,0.692702,0.402023,0.858694,0.885349,0.553226,0.37015,0.697881,0.645419,0.862552,0.975103,0.857692,0.687934,0.87261,0.187485,0.427479,0.132832,0.523391,2
2.0,102.0,420.0,0.776998,0.129901,0.248318,0.946295,0.272089,0.836931,0.243797,0.503707,0.671488,0.395896,0.592978,0.854877,0.0949,0.699627,0.229775,0.206712,0.232633,2
1.0,65.0,242.0,0.447649,0.565571,0.361594,0.652016,0.80163,0.750647,0.955125,0.534233,0.875553,0.444225,0.128868,0.907614,0.358759,0.895476,0.755525,0.764245,0.778632,2
2.0,176.0,153.0,0.281043,0.515331,0.533338,0.714436,0.505232,0.720215,0.253367,0.434791,0.226239,0.544805,0.99366,0.884233,0.314221,0.900643,0.176043,0.491007,0.334154,2
3.0,8.0,73.0,0.13859,0.975146,0.783244,0.49455,0.944483,0.00761,0.847889,0.583239,0.169231,0.904812,0.262854,0.900119,0.665655,0.697363,0.636616,0.029956,0.744991,2
1.0,156.0,345.0,0.638421,0.371066,0.456709,0.555877,0.381709,0.644957,0.153338,0.500825,0.281747,0.239247,0.414748,0.760238,0.132335,0.947334,0.987651,0.04347,0.40633,2
3.0,93.0,104.0,0.192319,0.736321,0.280574,0.186312,0.140274,0.407866,0.62178,0.56514,0.625201,0.679693,0.732388,0.254158,0.49474,0.011002,0.9229,0.712096,0.270385,2
3.0,135.0,84.0,0.153102,0.670906,0.647331,0.34214,0.661122,0.063567,0.035983,0.04568,0.475047,0.573015,0.214444,0.069362,0.539912,0.203953,0.163375,0.644607,0.940935,2
3.0,150.0,65.0,0.120845,0.592873,0.617757,0.797762,0.471482,0.378551,0.922885,0.742861,0.804032,0.016514,0.780588,0.967054,0.104963,0.181093,0.255584,0.349021,0.54814,2
3.0,136.0,348.0,0.643597,0.859218,0.693635,0.50192,0.040029,0.627387,0.886781,0.630141,0.433754,0.479836,0.343762,0.119498,0.768751,0.904195,0.727212,0.143294,0.710343,2
2.0,41.0,394.0,0.728032,0.458064,0.629857,0.143797,0.372503,0.682731,0.238651,0.720878,0.399115,0.501221,0.71287,0.331206,0.848008,0.80302,0.674749,0.612375,0.969469,2
1.0,126.0,284.0,0.525801,0.185345,0.749136,0.850486,0.393021,0.161923,0.825045,0.071264,0.081483,0.284431,0.002435,0.136315,0.844958,0.192474,0.302528,0.158379,0.490355,2
2.0,28.0,223.0,0.411534,0.923706,0.610101,0.739776,0.651408,0.927093,0.396542,0.888477,0.251308,0.305146,0.835319,0.155243,0.832492,0.154345,0.480436,0.267436,0.540282,2
3.0,158.0,125.0,0.230992,0.022494,0.466602,0.622439,0.529507,0.046944,0.026699,0.917683,0.741759,0.374647,0.305814,0.302609,0.566711,0.442974,0.748923,0.688402,0.719064,2
1.0,123.0,218.0,0.404092,0.41678,0.597772,0.905577,0.751218,0.865577,0.186333,0.110366,0.372311,0.701823,0.744825,0.272418,0.032835,0.827268,0.261479,0.322408,0.920082,2
3.0,44.0,330.0,0.610852,0.834904,0.446702,0.976638,0.283341,0.867055,0.109307,0.420572,0.57156,0.95654,0.564324,0.001312,0.203449,0.409295,0.532912,0.253713,0.184222,1
3.0,80.0,217.0,0.400629,0.633953,0.15931,0.348035,0.800259,0.797377,0.94886,0.424843,0.851841,0.031722,0.488761,0.629754,0.178982,0.061691,0.20792,0.121385,0.426138,2
1.0,2.0,249.0,0.457728,0.359448,0.306957,0.843331,0.934851,0.444572,0.828015,0.296618,0.61687,0.975786,0.914344,0.845247,0.864152,0.346713,0.356573,0.438447,0.512256,2
2.0,133.0,193.0,0.357042,0.012811,0.599547,0.177581,0.126837,0.763115,0.606587,0.46544,0.691356,0.066099,0.377258,0.105607,0.757512,0.949646,0.197627,0.459818,0.305932,2
1.0,140.0,350.0,0.648057,0.722853,0.212647,0.155459,0.635197,0.839242,0.982161,0.763406,0.692677,0.38327,0.42349,0.438282,0.587814,0.74702,0.470458,0.676241,0.163119,2
3.0,1.0,453.0,0.837511,0.073442,0.589892,0.868431,0.351131,0.389901,0.188123,0.536543,0.732256,0.005864,0.661066,0.224211,0.842952,0.048439,0.330238,0.255728,0.56544,2
3.0,75.0,57.0,0.104466,0.57185,0.844459,0.846228,0.620691,0.562367,0.040843,0.396014,0.882054,0.123275,0.407743,0.035624,0.313951,0.724187,0.485271,0.114709,0.781252,2
1.0,161.0,86.0,0.15595,0.040233,0.535631,0.08859,0.047782,0.96375,0.029533,0.293696,0.591742,0.827948,0.028265,0.458621,0.596637,0.938015,0.620209,0.055256,0.16891,2
3.0,172.0,385.0,0.711134,0.83073,0.804768,0.524933,0.437185,0.136692,0.498262,0.853208,0.520451,0.596733,0.354751,0.472349,0.256889,0.755501,0.248116,0.415337,0.206784,2
1.0,163.0,112.0,0.206038,0.114978,0.574029,0.482377,0.342907,0.553145,0.757963,0.011361,0.740812,0.671994,0.00895,0.972263,0.246553,0.704075,0.352122,0.688565,0.964728,2
1.0,23.0,366.0,0.675725,0.02493,0.113832,0.833686,0.268191,0.936407,0.577269,0.728363,0.846494,0.419848,0.286228,0.782014,0.455999,0.450857,0.909224,0.827098,0.125961,2
1.0,105.0,384.0,0.710956,0.883788,0.122997,0.905278,0.236193,0.367033,0.781591,0.344565,0.817351,0.712681,0.549026,0.851187,0.306865,0.205398,0.645744,0.883286,0.752249,2
3.0,24.0,321.0,0.592336,0.551264,0.204368,0.986799,0.723146,0.507673,0.204279,0.878389,0.697816,0.155372,0.51669,0.622693,0.477888,0.372796,0.82372,0.660422,0.11056,2
3.0,83.0,282.0,0.522,0.322253,0.4676,0.248088,0.300819,0.653596,0.591871,0.913746,0.025496,0.061848,0.937063,0.666993,0.614953,0.766538,0.912741,0.175676,0.462096,2
2.0,71.0,259.0,0.481451,0.729442,0.794123,0.097321,0.079587,0.064292,0.093171,0.680182,0.965443,0.762595,0.524885,0.427581,0.307197,0.704917,0.707861,0.488367,0.585033,2
3.0,77.0,54.0,0.098932,0.258077,0.496045,0.025334,0.869284,0.32032,0.855104,0.968443,0.848747,0.266779,0.766367,0.410509,0.603167,0.324741,0.263174,0.024066,0.695676,2
1.0,103.0,233.0,0.432523,0.998263,0.11017,0.671009,0.170808,0.207669,0.703076,0.61118,0.632672,0.948308,0.669069,0.920149,0.270859,0.048259,0.826194,0.737805,0.733419,2
3.0,118.0,507.0,0.938534,0.318872,0.356052,0.386879,0.655868,0.343528,0.333459,0.524499,0.314127,0.991512,0.596848,0.752242,0.515422,0.733465,0.222563,0.916947,0.218585,2
1.0,168.0,360.0,0.664733,0.866125,0.714386,0.217052,0.973378,0.86678,0.714038,0.332335,0.856553,0.798897,0.454831,0.225432,0.039115,0.651393,0.88709,0.718986,0.603562,2
1.0,18.0,428.0,0.791531,0.794123,0.430667,0.916778,0.897785,0.729779,0.560204,0.658953,0.835252,0.644759,0.444219,0.820039,0.878055,0.238453,0.413538,0.378726,0.973049,2
2.0,97.0,439.0,0.812742,0.586662,0.027161,0.681172,0.535065,0.749929,0.683764,0.099293,0.836561,0.819028,0.085001,0.908195,0.854771,0.668615,0.190561,0.381827,0.285892,2
3.0,67.0,181.0,0.334367,0.905293,0.102879,0.065935,0.634338,0.05493,0.329881,0.459006,0.097769,0.603097,0.920724,0.433006,0.261797,0.21919,0.598293,0.889205,0.004457,2
2.0,60.0,452.0,0.836419,0.735131,0.06375,0.006496,0.761902,0.189477,0.524432,0.776503,0.946905,0.645526,0.599674,0.50969,0.275761,0.744239,0.864749,0.704122,0.922457,2
3.0,59.0,436.0,0.806055,0.606293,0.061993,0.735519,0.275446,0.910089,0.860013,0.369611,0.785909,0.222385,0.925076,0.940056,0.464118,0.016735,0.820925,0.977265,0.689035,2
3.0,53.0,49.0,0.089357,0.884953,0.320835,0.132548,0.318772,0.156129,0.814904,0.141815,0.700394,0.875299,0.376662,0.675716,0.977332,0.011821,0.060966,0.84211,0.284673,2
2.0,128.0,211.0,0.389784,0.916041,0.964459,0.780976,0.975642,0.841243,0.913231,0.38987,0.748607,0.876916,0.571627,0.326669,0.074939,0.994088,0.841022,0.078183,0.075543,2
2.0,32.0,438.0,0.809492,0.291883,0.960685,0.897129,0.051043,0.598251,0.256331,0.532689,0.629363,0.088814,0.033144,0.482926,0.055109,0.560793,0.488743,0.411851,0.856649,2
3.0,178.0,509.0,0.941185,0.769245,0.950776,0.189406,0.112743,0.745645,0.527096,0.870987,0.193103,0.829563,0.101506,0.548878,0.381966,0.198811,0.867108,0.461632,0.652817,2
